Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25268538,Seiobo There Below,László Krasznahorkai,"Krasznahorkai, László",Ottilie Mulzet,"=""1781255105""","=""9781781255100""",0,4.27,"Tuskar Rock Press, London, England",Hardcover,464,2015,2008,,2020/12/14,to-read,to-read (#900),to-read,,,,0,0
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.77,Vintage,Paperback,783,1990,1922,,2012/08/04,to-read,to-read (#369),to-read,,,,1,0
838729,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345240340""","=""9780345240347""",0,4.58,Ballantine Books,Mass Market Paperback,385,1974,1955,,2020/12/18,to-read,to-read (#912),to-read,,,,0,0
222910,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.50,Ballantine Books,Mass Market Paperback,447,1973,1954,,2020/12/18,to-read,to-read (#911),to-read,,,,0,0
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.40,Ballantine Books,Mass Market Paperback,527,1973,1954,,2020/12/18,to-read,to-read (#910),to-read,,,,0,0
110913,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Constance Garnett, Mona Simpson, Leonard J. Kent, Nina Berberova","=""067978330X""","=""9780679783305""",0,4.10,The Modern Library,Paperback,938,2000,1878,,2020/12/01,to-read,to-read (#874),to-read,,,,0,0
14836,Midnight’s Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",5,3.98,Vintage,Paperback,647,1995,1981,2009/05/02,2009/01/20,favorite-list,favorite-list (#6),read,,,,1,0
460274,Remembrance of Things Past: Vol 3,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin","=""0140182241""","=""9780140182248""",0,4.53,Penguin Books Ltd,Paperback,1136,1989,1927,,2009/10/31,to-read,to-read (#119),to-read,,,,0,0
323956,Remembrance of Things Past: Vol 2,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin","=""0140182233""","=""9780140182231""",0,4.49,Penguin Putnam,Paperback,1216,1989,1922,,2009/10/31,to-read,to-read (#118),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,New American Library,Mass Market Paperback,328,1950,1949,,2009/01/21,to-read,to-read (#518),to-read,,,,1,0
