Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3166030,What Is This Buzzing? Do You Hear It Too?,Luigi Malerba,"Malerba, Luigi",William Weaver,"=""""","=""""",0,3.50,"Farrar, Straus & Giroux",Hardcover,207,1969,1969,,2025/09/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Mark Hallaq","=""""","=""""",5,4.14,Signet,Mass Market Paperback,256,2001,1902,2025/09/19,2025/09/19,,,read,,,,1,0
60099,"The Worshipful Lucia (Lucia, #5)",E.F. Benson,"Benson, E.F.",,"=""0060913754""","=""9780060913755""",4,4.32,HarperCollins,Paperback,307,1987,1935,2025/09/19,2025/09/19,,,read,,,,1,0
60063,"Mapp and Lucia (Lucia, #4)",E.F. Benson,"Benson, E.F.",,"=""0141187689""","=""9780141187686""",5,4.22,Black Swan,Paperback,300,2004,1931,2025/09/19,2025/09/19,,,read,,,,1,0
95279,"Lucia in London (The Mapp & Lucia Novels, #3)",E.F. Benson,"Benson, E.F.",Micheál Mac Liammóir,"=""1559212772""","=""9781559212779""",5,4.21,Moyer Bell ,Paperback,240,1999,1927,2025/09/19,2025/09/19,,,read,,,,1,0
1127851,"Miss Mapp (Lucia, #2)",E.F. Benson,"Benson, E.F.",,"=""1559212756""","=""9781559212755""",4,4.10,Moyer Bell and its subsidiaries,Paperback,240,2005,1922,2025/09/19,2025/09/19,,,read,,,,1,0
60079,Queen Lucia,E.F. Benson,"Benson, E.F.",,"=""1592245889""","=""9781592245888""",5,3.92,Wildside Pr,Hardcover,300,2003,1920,2020/05/21,2020/05/06,favorite-list,favorite-list (#65),read,,,,3,0
956734,"The Fortune of the Rougons (Les Rougon-Macquart, #1)",Émile Zola,"Zola, Émile",,"=""0862992168""","=""9780862992163""",5,3.90,Sutton Pub Ltd,Paperback,348,1985,1871,2025/09/19,2012/08/04,to-read,to-read (#250),to-read,,,,1,0
588747,Lady Audley's Secret,Mary Elizabeth Braddon,"Braddon, Mary Elizabeth",,"=""0192835203""","=""9780192835208""",4,3.78,Oxford University Press,Paperback,455,1987,1862,2025/09/19,2021/11/30,,,read,,,,1,0
6669355,Some Tame Gazelle,Barbara Pym,"Pym, Barbara",Mavis Cheek,"=""1844085791""","=""9781844085798""",5,3.92,Virago,Paperback,254,2009,1950,2021/04/26,2021/04/21,favorite-list,favorite-list (#93),read,,,,3,0
55409229,The High House,Jessie Greengrass,"Greengrass, Jessie",,"=""1800750072""","=""9781800750074""",0,3.95,SWIFT PRESS,Hardcover,277,2021,2021,,2021/11/27,to-read,to-read (#1073),to-read,,,,0,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace Books,Mass Market Paperback,271,1985,1984,,2011/08/19,to-read,to-read (#206),to-read,,,,0,0
53064,Death in Venice and Other Tales,Thomas Mann,"Mann, Thomas",Joachim Neugroschel,"=""0141181737""","=""9780141181738""",5,3.92,Penguin Classics,Paperback,384,1999,1998,,2009/05/30,favorite-list,favorite-list (#39),read,,,,1,0
6897011,The Book of Disquiet,Fernando Pessoa,"Pessoa, Fernando","Margaret Jull Costa, William Boyd, Bernardo Soares","=""1846687357""","=""9781846687358""",0,4.40,Serpent's Tail,Paperback,262,2011,1982,,2020/03/17,to-read,to-read (#321),to-read,,,,0,0
1429166,Remembrance of Things Past: Vol 1,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin","=""0140182225""","=""9780140182224""",0,4.30,"Penguin Books Canada, Limited",Paperback,1040,1989,,,2009/10/31,to-read,to-read (#117),to-read,,,,0,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.46,Knopf Doubleday,Hardcover,303,2024,2024,,2024/09/17,to-read,to-read (#1269),to-read,,,,1,0
370523,Cien años de soledad,Gabriel García Márquez,"Márquez, Gabriel García",,"=""8420471836""","=""9788420471839""",3,4.12,Alfaguara,Hardcover,609,2007,1967,2025/02/19,2020/12/01,,,read,,,,1,0
46787,Uncle Tom’s Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,"=""""","=""""",2,3.92,Wordsworth Classics,Paperback,438,1999,1852,2025/02/19,2009/10/30,,,read,,,,1,0
108615,Offshore,Penelope Fitzgerald,"Fitzgerald, Penelope",,"=""0006542565""","=""9780006542568""",5,3.59,Harper Perennial,Paperback,140,2003,1979,2025/02/19,2011/07/24,,,read,,,,1,0
194373,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle,"Doyle, Arthur Conan","Owen Dudley Edwards, Christopher Roden","=""0192123092""","=""9780192123091""",5,4.29,Oxford University Press,Hardcover,378,1993,1893,2025/02/19,2025/02/19,,,read,,,,1,0
4449027,Something to Answer For,P.H. Newby,"Newby, P.H.",,"=""0571243258""","=""9780571243259""",3,3.05,Faber and Faber,Paperback,284,2008,1968,2025/02/19,2011/07/24,,,read,,,,1,0
16564288,A Dybbuk: And Other Tales of the Supernatural,Tony Kushner,"Kushner, Tony",Joachim Neugrochel,"=""1559366982""","=""9781559366984""",0,3.83,Theatre Communications Group,Kindle Edition,192,1997,1992,,2020/06/12,to-read,to-read (#517),to-read,,,,0,0
2768200,Tres tristes tigres,Guillermo Cabrera Infante,"Infante, Guillermo Cabrera",,"=""0061626708""","=""9780061626708""",0,3.91,Rayo,Paperback,511,2008,1967,,2009/01/20,to-read,to-read (#126),to-read,,,,0,0
28264701,Hum If You Don't Know the Words,Bianca Marais,"Marais, Bianca",,"=""0399575073""","=""9780399575075""",0,4.23,G.P. Putnam’s Sons,Kindle Edition,432,2017,2017,,2021/06/07,to-read,to-read (#1051),to-read,,,,0,0
3590,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",5,4.30,Oxford University Press,Paperback,389,1998,1892,2024/09/27,2020/06/15,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.30,Houghton Mifflin,Paperback,366,2002,1937,2011/10/30,2009/01/20,,,read,,,,2,0
200241802,Held,Anne  Michaels,"Michaels, Anne",,"=""0771005458""","=""9780771005459""",0,3.51,McClelland & Stewart,Hardcover,240,2023,2023,,2024/08/06,to-read,to-read (#1268),to-read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.53,Atlantic Monthly Press,Hardcover,224,2023,2023,,2024/08/06,to-read,to-read (#1267),to-read,,,,1,0
111173373,Study for Obedience,Sarah Bernstein,"Bernstein, Sarah",,"=""1803510005""","=""9781803510002""",0,3.01,Granta Books,Kindle Edition,208,2023,2023,,2023/04/30,to-read,to-read (#1266),to-read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",2,3.92,Penguin Classics,Paperback,244,2006,1876,2011/09/30,2011/09/30,trash,trash (#23),trash,,,,2,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",1,3.83,Penguin Classics,Paperback,327,2002,1884,2024/09/08,2009/01/20,trash,trash (#22),trash,,,,1,0
3304085,Humiliated and Insulted,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Ignat Avsey,"=""184749045X""","=""9781847490452""",0,4.25,Oneworld Classics,Paperback,400,2008,1861,,2020/12/26,to-read,to-read (#929),to-read,,,,0,0
768496,The Golden Gate,Vikram Seth,"Seth, Vikram",,"=""0679734570""","=""9780679734574""",5,3.88,Vintage,Paperback,307,1991,1986,2024/08/13,2024/07/20,favorite-list,favorite-list (#117),read,,,,1,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""""","=""""",5,3.89,Penguin Classics,Paperback,129,2001,1890,2024/08/13,2024/08/06,,,read,,,,1,0
372812,Love in a Cold Climate and Other Novels,Nancy Mitford,"Mitford, Nancy",,"=""0141181494""","=""9780141181493""",0,4.11,Penguin Books,Paperback,493,2000,,,2016/11/21,to-read,to-read (#301),to-read,,,,0,0
31247,A Christmas Carol and Other Christmas Books,Charles Dickens,"Dickens, Charles",Robert Douglas-Fairhurst,"=""0192806947""","=""9780192806949""",0,3.80,Oxford University Press,Paperback,496,2007,1848,,2020/12/01,to-read,to-read (#877),to-read,,,,0,0
62337366,The Male Gazed,Manuel Betancourt,"Betancourt, Manuel",,"=""164622146X""","=""9781646221462""",0,3.47,Catapult,Hardcover,208,2023,2023,,2024/08/05,to-read,to-read (#1265),to-read,,,,0,0
36218167,A Study in Scarlet (Penguin classics),Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",5,4.13,,Kindle Edition,118,2017,1887,2024/08/05,2024/08/05,,,read,,,,1,0
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""""","=""""",2,3.97,Knopf,Hardcover,294,2018,2018,2024/08/05,2020/04/15,,,read,,,,1,0
529172,Drinking Coffee Elsewhere,ZZ Packer,"Packer, ZZ",,"=""1573223786""","=""9781573223782""",3,3.88,Riverhead Books,Paperback,265,2004,2004,2024/07/31,2024/07/28,,,read,,,,1,0
7552716,The Stranger's Child,Alan Hollinghurst,"Hollinghurst, Alan",,"=""0330483242""","=""9780330483247""",0,3.33,Picador,Hardcover,564,2011,2011,,2024/07/20,to-read,to-read (#1264),to-read,,,,0,0
36074113,Duelo,Eduardo Halfon,"Halfon, Eduardo",,"=""8417007199""","=""9788417007195""",0,3.85,Libros del Asteroide,Paperback,106,2017,2017,,2024/07/20,to-read,to-read (#1263),to-read,,,,0,0
385255,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,"LeBlanc, Adrian Nicole",,"=""0743254430""","=""9780743254434""",0,4.26,Scribner,Paperback,409,2004,2003,,2024/07/20,to-read,to-read (#1262),to-read,,,,0,0
29658,Postwar: A History of Europe Since 1945,Tony Judt,"Judt, Tony",,"=""0143037757""","=""9780143037750""",0,4.38,Penguin Books,Paperback,933,2006,2005,,2024/07/20,to-read,to-read (#1261),to-read,,,,0,0
22929741,The Argonauts,Maggie Nelson,"Nelson, Maggie",,"=""1555977073""","=""9781555977078""",0,4.02,Graywolf Press,Hardcover,160,2015,2015,,2024/07/20,to-read,to-read (#1260),to-read,,,,0,0
20613582,10:04,Ben Lerner,"Lerner, Ben",,"=""0865478104""","=""9780865478107""",0,3.77,"Farrar, Straus and Giroux",Hardcover,256,2014,2014,,2024/07/20,to-read,to-read (#1259),to-read,,,,0,0
22259,Veronica,Mary Gaitskill,"Gaitskill, Mary",,"=""0375421459""","=""9780375421457""",0,3.43,Pantheon,Hardcover,240,2005,2005,,2024/07/20,to-read,to-read (#1258),to-read,,,,0,0
53317528,"The Copenhagen Trilogy (The Copenhagen Trilogy, #1-3)",Tove Ditlevsen,"Ditlevsen, Tove","Tiina Nunnally, Michael Favala Goldman","=""0374602395""","=""9780374602390""",0,4.36,"Farrar, Straus and Giroux",Hardcover,371,2021,1967,,2024/07/20,to-read,to-read (#1257),to-read,,,,0,0
60246552,"Septology (Septologien, #1-7)",Jon Fosse,"Fosse, Jon",,"=""1804270067""","=""9781804270066""",0,4.48,Fitzcarraldo Editions,Paperback,825,2022,2022,,2024/07/20,to-read,to-read (#1256),to-read,,,,0,0
10851868,Pulphead,John Jeremiah Sullivan,"Sullivan, John Jeremiah",,"=""0374532907""","=""9780374532901""",0,4.00,FSG Originals,Paperback,365,2011,2011,,2024/07/20,to-read,to-read (#1255),to-read,,,,0,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.34,Scribner,Hardcover,472,2010,2010,,2024/07/20,to-read,to-read (#1254),to-read,,,,0,0
45894050,"Wayward Lives, Beautiful Experiments: Intimate Histories of Riotous Black Girls, Troublesome Women, and Queer Radicals",Saidiya Hartman,"Hartman, Saidiya",,"=""0393357627""","=""9780393357622""",0,4.42,W. W. Norton & Company,Paperback,441,2020,2019,,2024/07/20,to-read,to-read (#1253),to-read,,,,0,0
17286683,Men We Reaped: A Memoir,Jesmyn Ward,"Ward, Jesmyn",,"=""160819521X""","=""9781608195213""",0,4.30,Bloomsbury USA,Hardcover,256,2013,2013,,2024/07/20,to-read,to-read (#1252),to-read,,,,0,0
12991188,Train Dreams,Denis Johnson,"Johnson, Denis",,"=""1250007658""","=""9781250007650""",0,3.90,Picador Paper,Paperback,116,2012,2002,,2024/07/20,to-read,to-read (#1251),to-read,,,,0,0
11751,All Aunt Hagar's Children: Stories,Edward P. Jones,"Jones, Edward P.",,"=""0060557567""","=""9780060557560""",0,3.82,Amistad Press,Hardcover,399,2006,2006,,2024/07/20,to-read,to-read (#1250),to-read,,,,0,0
10306358,We the Animals,Justin Torres,"Torres, Justin",,"=""0547576722""","=""9780547576725""",0,3.73,Houghton Mifflin Harcourt,Hardcover,128,2011,2011,,2024/07/20,to-read,to-read (#1249),to-read,,,,0,0
28007895,The Return,Hisham Matar,"Matar, Hisham",,"=""034580774X""","=""9780345807748""",0,4.16,Knopf Canada,Hardcover,256,2016,2016,,2024/07/20,to-read,to-read (#1248),to-read,,,,0,0
10846336,Salvage the Bones,Jesmyn Ward,"Ward, Jesmyn",,"=""1608195228""","=""9781608195220""",0,3.96,Bloomsbury,Hardcover,261,2011,2011,,2024/07/20,to-read,to-read (#1247),to-read,,,,0,0
3009435,A Mercy,Toni Morrison,"Morrison, Toni",,"=""0307264238""","=""9780307264237""",0,3.76,Knopf,Hardcover,167,2008,2008,,2024/07/20,to-read,to-read (#1246),to-read,,,,0,0
1869,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,"Ehrenreich, Barbara",,"=""0805063897""","=""9780805063899""",0,3.65,Owl Books (Henry Holt),Paperback,240,2002,2001,,2024/07/20,to-read,to-read (#1245),to-read,,,,0,0
13049569,"The Passage of Power (The Years of Lyndon Johnson, #4)",Robert A. Caro,"Caro, Robert A.",,"=""0679405070""","=""9780679405078""",0,4.40,Knopf,Hardcover,712,2012,2012,,2024/07/20,to-read,to-read (#1244),to-read,,,,0,0
14295,Pastoralia,George Saunders,"Saunders, George",,"=""0747553866""","=""9780747553861""",0,4.06,Bloomsbury Publishing,Paperback,188,2001,2000,,2024/07/20,to-read,to-read (#1243),to-read,,,,0,0
38530663,Frederick Douglass: Prophet of Freedom,David W. Blight,"Blight, David W.",,"=""1416590315""","=""9781416590316""",0,4.17,Simon & Schuster,Hardcover,888,2018,2018,,2024/07/20,to-read,to-read (#1242),to-read,,,,0,0
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""1400067553""","=""9781400067558""",0,3.98,Random House,Hardcover,278,2012,2012,,2024/07/20,to-read,to-read (#1241),to-read,,,,0,0
20613761,Citizen: An American Lyric,Claudia Rankine,"Rankine, Claudia",,"=""1555976905""","=""9781555976903""",0,4.25,Graywolf Press,Paperback,169,2014,2014,,2024/07/20,to-read,to-read (#1240),to-read,,,,0,0
18803640,H is for Hawk,Helen Macdonald,"Macdonald, Helen",,"=""0224097008""","=""9780224097000""",0,3.74,Grove Press,Hardcover,300,2014,2014,,2024/07/20,to-read,to-read (#1239),to-read,,,,0,0
14280,Runaway: Stories,Alice Munro,"Munro, Alice",,"=""1400077915""","=""9781400077915""",0,3.97,Vintage Contemporaries,Paperback,335,2005,2004,,2024/07/20,to-read,to-read (#1238),to-read,,,,0,0
59900070,Stay True,Hua Hsu,"Hsu, Hua",,"=""0385547773""","=""9780385547772""",0,4.00,Doubleday,Hardcover,208,2022,2022,,2024/07/20,to-read,to-read (#1237),to-read,,,,0,0
13547504,"Far from the Tree: Parents, Children, and the Search for Identity",Andrew Solomon,"Solomon, Andrew",,"=""""","=""""",0,4.27,Scribner,Hardcover,962,2012,2012,,2024/07/20,to-read,to-read (#1236),to-read,,,,0,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",0,4.52,The New Press Inc.,Hardcover,290,2010,2010,,2024/07/20,to-read,to-read (#1235),to-read,,,,0,0
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",0,4.47,Crown Publishers,Hardcover,418,2016,2016,,2024/07/20,to-read,to-read (#1234),to-read,,,,0,0
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,"Wright, Lawrence",,"=""037541486X""","=""9780375414862""",0,4.36,Knopf,Hardcover,469,2006,2006,,2024/07/20,to-read,to-read (#1233),to-read,,,,0,0
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,4.48,Random House,Hardcover,640,2010,2010,,2024/07/20,to-read,to-read (#1232),to-read,,,,0,0
48890225,"Detransition, Baby",Torrey Peters,"Peters, Torrey",,"=""0593133374""","=""9780593133378""",0,3.93,One World,Hardcover,337,2021,2021,,2024/07/20,to-read,to-read (#1231),to-read,,,,0,0
77810,The Days of Abandonment,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1933372001""","=""9781933372006""",0,3.87,Europa Editions,Paperback,188,2005,2002,,2024/07/20,to-read,to-read (#1230),to-read,,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.47,Doubleday,Hardcover,441,2019,2018,,2024/07/20,to-read,to-read (#1229),to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,3.67,Faber & Faber,Hardcover,249,2014,2014,,2024/07/20,to-read,to-read (#1228),to-read,,,,0,0
15790842,"Life After Life (Todd Family, #1)",Kate Atkinson,"Atkinson, Kate",,"=""0316176486""","=""9780316176484""",0,3.79,Reagan Arthur Books,Hardcover,544,2013,2013,,2024/07/20,to-read,to-read (#1227),to-read,,,,0,0
13641208,Tenth of December,George Saunders,"Saunders, George",,"=""0812993802""","=""9780812993806""",0,3.98,Random House,Hardcover,251,2013,2013,,2024/07/20,to-read,to-read (#1226),to-read,,,,0,0
3679,On Beauty,Zadie Smith,"Smith, Zadie",,"=""0143037749""","=""9780143037743""",0,3.78,Penguin Books,Paperback,445,2006,2005,,2024/07/20,to-read,to-read (#1225),to-read,,,,0,0
355862,Erasure,Percival Everett,"Everett, Percival",,"=""0786888156""","=""9780786888153""",0,4.17,Hyperion,Paperback,280,2002,2001,,2024/07/20,to-read,to-read (#1224),to-read,,,,0,0
25242224,"The Story of the Lost Child (Neapolitan Novels, #4)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609452860""","=""9781609452865""",0,4.46,Europa Editions,Paperback,473,2015,2014,,2024/07/20,to-read,to-read (#1223),to-read,,,,0,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",0,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2024/07/20,to-read,to-read (#1222),to-read,,,,0,0
26135825,Fun Home: A Family Tragicomic,Alison Bechdel,"Bechdel, Alison",,"=""0618871713""","=""9780618871711""",0,4.07,Mariner Books,Paperback,232,2007,2006,,2024/07/20,to-read,to-read (#1221),to-read,,,,0,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.29,Orbit,Paperback,468,2015,2015,,2024/07/20,to-read,to-read (#1220),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2024/07/20,to-read,to-read (#1219),to-read,,,,0,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.27,Pantheon,Paperback,153,2004,2003,,2024/07/20,to-read,to-read (#1217),to-read,,,,0,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.05,Penguin Random House ,Paperback,331,2012,2011,,2024/07/20,to-read,to-read (#1218),to-read,,,,0,0
93134,The Mysteries of Udolpho,Ann Radcliffe,"Radcliffe, Ann",Jacqueline Howard,"=""0140437592""","=""9780140437591""",5,3.42,Penguin Classics,Paperback,654,2001,1794,2024/03/23,2023/12/30,favorite-list,favorite-list (#115),read,,,,1,0
9549746,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307477479""","=""9780307477477""",5,3.70,Anchor Books,Paperback,341,2011,2010,2022/10/27,2022/10/14,favorite-list,favorite-list (#85),read,,,,2,0
3010700,Close Quarters,William Golding,"Golding, William",,"=""0571151671""","=""9780571151677""",0,3.79,Faber & Faber,Paperback,282,1988,1987,,2024/04/09,to-read,to-read (#1216),to-read,,,,1,0
7711491,"Gold Boy, Emerald Girl",Yiyun Li,"Li, Yiyun",,"=""1400068134""","=""9781400068135""",0,3.70,Random House,Hardcover,221,2010,2010,,2023/12/02,to-read,to-read (#1215),to-read,,,,1,0
199481655,Tantric Path of Desire,Shar Khentrul Jamphel Lodrö,"Lodrö, Shar Khentrul Jamphel",,"=""195822975X""","=""9781958229750""",5,5.00,Dzokden,Paperback,428,2023,,2024/07/06,2024/04/13,favorite-list,favorite-list (#116),read,,,,1,0
207313,Melmoth the Wanderer,Charles Robert Maturin,"Maturin, Charles Robert",Victor Sage,"=""014044761X""","=""9780140447613""",0,3.73,Penguin Books,Paperback,659,2001,1820,,2024/04/09,to-read,to-read (#1214),to-read,,,,1,0
529243,"Clarissa, or, The History of a Young Lady",Samuel Richardson,"Richardson, Samuel",Angus Ross,"=""0140432159""","=""9780140432152""",0,3.39,Penguin Classics,Paperback,1534,1985,1748,,2023/10/08,to-read,to-read (#1213),to-read,,,,1,0
55643287,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,"Smith, Clint",,"=""0316492930""","=""9780316492935""",0,4.70,"Little, Brown and Company",Hardcover,336,2021,2021,,2022/11/01,to-read,to-read (#1212),to-read,,,,1,0
12923,The Castle of Otranto,Horace Walpole,"Walpole, Horace",,"=""0192834401""","=""9780192834409""",4,3.19,Oxford University Press,Paperback,125,1998,1764,2024/05/13,2024/05/13,,,read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",1,3.65,Hogarth,Hardcover,188,2016,2007,2024/05/13,2020/06/04,,,read,,,,1,0
14431,"Rites of Passage (To the Ends of the Earth, #1)",William Golding,"Golding, William",,"=""0571209432""","=""9780571209439""",5,3.58,Faber and Faber,Paperback,278,2001,1980,2024/04/03,2011/07/24,favorite-list,favorite-list (#114),read,,,,1,0
208294,Lady with Lapdog and Other Stories,Anton Chekhov,"Chekhov, Anton",David Magarshack,"=""0140441433""","=""9780140441437""",0,4.10,Penguin Classics,Mass Market Paperback,288,1987,1899,,2021/11/30,to-read,to-read (#1088),to-read,,,,0,0
2301727,Paddy Clarke Ha Ha Ha,Roddy Doyle,"Doyle, Roddy",,"=""0670853453""","=""9780670853458""",2,3.75,Viking Penguin,Hardcover,282,1994,1993,2024/03/23,2011/07/24,,,read,,,,1,0
122089797,The House on Via Gemito,Domenico Starnone,"Starnone, Domenico",Oonagh Stransky,"=""1609459237""","=""9781609459239""",0,3.67,Europa Editions,Hardcover,480,2023,2000,,2024/03/21,to-read,to-read (#1211),to-read,,,,0,0
17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Ronald Hingley, H.T. Willetts, Leopold Labedz, Max Hayward","=""""","=""""",0,3.98,"Farrar, Straus and Giroux",Paperback,182,2005,1962,,2009/10/30,to-read,to-read (#93),to-read,,,,0,0
416737,Trilogía sucia de La Habana,Pedro Juan Gutiérrez,"Gutiérrez, Pedro Juan",,"=""8433910817""","=""9788433910813""",0,3.78,Editorial Anagrama,Hardcover,266,2001,1994,,2023/12/15,to-read,to-read (#1210),to-read,,,,0,0
1079025,The Book of Not,Tsitsi Dangarembga,"Dangarembga, Tsitsi",,"=""0954702379""","=""9780954702373""",0,3.62,Ayebia Clarke Publishing,Paperback,246,2006,2006,,2023/01/04,to-read,to-read (#1209),to-read,,,,0,0
20507062,En finir avec Eddy Bellegueule,Édouard Louis,"Louis, Édouard",,"=""2021117707""","=""9782021117707""",0,3.95,SEUIL,Paperback,220,2014,2014,,2023/02/01,to-read,to-read (#1208),to-read,,,,0,0
187255,Amsterdam,Ian McEwan,"McEwan, Ian",,"=""0385494238""","=""9780385494236""",5,3.47,Nan A. Talese / Doubleday,Hardcover,193,1999,1998,,2009/01/24,favorite-list,favorite-list (#113),read,,,,2,0
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",2,4.20,Nan A. Talese,Hardcover,422,2019,2019,2020/02/18,2020/02/16,,,read,,,,2,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",3,4.15,Anchor Books,Paperback,311,1998,1985,2020/02/12,2010/10/04,,,read,,,,2,0
8664368,The Finkler Question,Howard Jacobson,"Jacobson, Howard",,"=""1408808870""","=""9781408808870""",3,2.84,Bloomsbury,Hardcover,307,2010,2010,2024/02/15,2011/07/24,,,read,,,,1,0
85301,Unaccustomed Earth,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0676979343""","=""9780676979343""",3,4.14,Knopf,Hardcover,352,2008,2008,2013/02/24,2012/12/07,,,read,"Yes, even if she was totally in her comfort zone, it is still an amazing book.",,,2,0
56648158,Night of the Living Rez,Morgan Talty,"Talty, Morgan",,"=""195353418X""","=""9781953534187""",5,3.89,Tin House Books,Paperback,285,2022,2022,2024/02/04,2024/02/04,favorite-list,favorite-list (#112),read,,,,1,0
104724,Poor People (Hesperus Classics),Fyodor Dostoevsky,"Dostoevsky, Fyodor","Hugh Aplin, Charlotte Hobson","=""1843910233""","=""9781843910237""",5,3.77,Hesperus Pr,Paperback,112,2002,1846,2024/01/11,2024/01/11,favorite-list,favorite-list (#111),read,,,,1,0
83017,The Tartar Steppe,Dino Buzzati,"Buzzati, Dino",Stuart Hood,"=""1567923046""","=""9781567923049""",0,4.21,Verba Mundi,Paperback,198,2005,1940,,2020/06/04,to-read,to-read (#398),to-read,,,,0,0
254308,Oblomov,Ivan Goncharov,"Goncharov, Ivan","Galya Diment, Stephen Pearl","=""1933480092""","=""9781933480091""",0,4.14,Bunim & Bannigan Ltd,Paperback,586,2006,1859,,2021/11/02,to-read,to-read (#1068),to-read,,,,0,0
92365,Mysterious Skin,Scott Heim,"Heim, Scott",,"=""0060841699""","=""9780060841690""",3,4.16,Harper Perennial,Paperback,292,2005,1995,2023/05/28,2020/06/03,,,read,,,,1,0
